rosbagTimestamp,data
120605000000,"""15_12_21_501, 87, 753"""
121003000000,"""15_12_22_491, 87, 756"""
121602000000,"""15_12_23_976, 86, 750"""
121810000000,"""15_12_24_471, 86, 688"""
122176000000,"""15_12_25_461, 86, 696"""
122508000000,"""15_12_26_452, 87, 696"""
123066000000,"""15_12_27_936, 87, 701"""
123267000000,"""15_12_28_431, 87, 701"""
123679000000,"""15_12_29_421, 87, 702"""
124087000000,"""15_12_30_411, 88, 682"""
124490000000,"""15_12_31_402, 88, 678"""
124928000000,"""15_12_32_391, 89, 667"""
125358000000,"""15_12_33_381, 89, 679"""
125735000000,"""15_12_34_371, 89, 679"""
126284000000,"""15_12_35_856, 89, 691"""
126669000000,"""15_12_36_846, 89, 708"""
127080000000,"""15_12_37_836, 89, 702"""
127535000000,"""15_12_38_826, 89, 682"""
127967000000,"""15_12_39_818, 89, 680"""
128365000000,"""15_12_40_806, 89, 709"""
128981000000,"""15_12_42_292, 88, 701"""
129204000000,"""15_12_42_786, 88, 711"""
129646000000,"""15_12_43_776, 88, 725"""
130037000000,"""15_12_44_767, 87, 729"""
130651000000,"""15_12_46_252, 87, 707"""
130879000000,"""15_12_46_747, 87, 705"""
131292000000,"""15_12_47_737, 87, 712"""
131706000000,"""15_12_48_727, 87, 693"""
132334000000,"""15_12_50_212, 88, 689"""
132566000000,"""15_12_50_707, 88, 700"""
132927000000,"""15_12_51_697, 88, 692"""
133300000000,"""15_12_52_687, 88, 697"""
133897000000,"""15_12_54_172, 87, 737"""
134093000000,"""15_12_54_667, 86, 736"""
134499000000,"""15_12_55_657, 86, 725"""
134900000000,"""15_12_56_647, 86, 709"""
135293000000,"""15_12_57_637, 86, 705"""
135700000000,"""15_12_58_627, 87, 682"""
136084000000,"""15_12_59_617, 89, 650"""
136480000000,"""15_13_00_607, 89, 654"""
136888000000,"""15_13_01_597, 89, 679"""
137265000000,"""15_13_02_587, 89, 701"""
137667000000,"""15_13_03_577, 88, 729"""
138066000000,"""15_13_04_567, 87, 743"""
138453000000,"""15_13_05_557, 87, 732"""
139061000000,"""15_13_07_42, 87, 720"""
139270000000,"""15_13_07_537, 89, 662"""
139616000000,"""15_13_08_527, 90, 640"""
140033000000,"""15_13_09_517, 92, 630"""
140443000000,"""15_13_10_508, 93, 613"""
140855000000,"""15_13_11_497, 94, 612"""
141247000000,"""15_13_12_487, 93, 664"""
141614000000,"""15_13_13_477, 93, 752"""
141999000000,"""15_13_14_467, 92, 739"""
142362000000,"""15_13_15_457, 90, 738"""
142795000000,"""15_13_16_447, 89, 736"""
143215000000,"""15_13_17_437, 88, 749"""
143825000000,"""15_13_18_922, 87, 725"""
144001000000,"""15_13_19_417, 87, 713"""
144447000000,"""15_13_20_407, 87, 716"""
144840000000,"""15_13_21_397, 87, 696"""
145278000000,"""15_13_22_387, 87, 699"""
145661000000,"""15_13_23_377, 87, 719"""
146075000000,"""15_13_24_367, 86, 732"""
146671000000,"""15_13_25_852, 86, 724"""
147096000000,"""15_13_26_842, 86, 745"""
147501000000,"""15_13_27_833, 85, 750"""
147923000000,"""15_13_28_822, 85, 719"""
